county1,distance,county2
12013,132.281680931285,12121
12013,134.029094685051,12047
12013,150.825295472945,12041
12013,154.022741280863,12023
12013,163.588418323449,12075
12013,170.58601745024,12125
12013,172.691243030725,12003
12013,176.914138564886,12001
12013,183.613981374061,12007
12013,192.808034372893,12017
12013,201.37446742272,12019
12013,204.922669330759,12089
12013,206.135488641788,12083
12013,206.995647104422,12053
12013,211.652595994782,12031
12013,213.804796880679,12107
12013,219.221165542935,12101
12013,220.494332626199,12119
12013,226.928804276255,12103
12013,230.468014706191,12109
12013,237.618623574034,12069
12013,242.561536009394,12035
12013,242.788247821208,12057
12013,259.033290799871,12127
12013,263.947922965682,12081
12013,266.64534656773,12095
12013,270.226962010121,12105
12013,271.106567931443,12117
12013,280.025792922804,12115
12013,285.821363516892,12049
12013,292.886753294824,12097
12013,301.637936628431,12027
12013,306.9430294677,12009
12013,313.274886389092,12015
12013,314.222029766689,12055
12013,332.494179237307,12071
12013,333.19807670152,12093
12013,335.325615354002,12061
12013,339.505275361565,12043
12013,354.801319088412,12111
12013,362.076934061633,12051
12013,369.823707528972,12085
12013,374.69846513885,12021
12013,387.234503426149,12099
12013,407.983880533137,12011
12013,410.670602986877,12087
12013,437.119845871071,12086
12015,22.0859893889725,12071
12015,23.7245589686632,12027
12015,34.0518938605249,12115
12015,43.7344489179739,12049
12015,46.5907348661136,12043
12015,49.3273845138877,12055
12015,49.7340572087455,12081
12015,53.7734342728175,12051
12015,61.652459078387,12021
12015,73.9684711793165,12093
12015,75.9600302957463,12057
12015,76.4466283371469,12105
12015,86.6464187281386,12103
12015,93.3408405602156,12099
12015,95.7975360314117,12097
12015,96.1038701732341,12085
12015,98.6460009829804,12111
12015,98.7047393903945,12087
12015,101.68248770823,12061
12015,101.830172719647,12011
12015,103.922104339056,12101
12015,119.812936050021,12095
12015,121.690914689341,12053
12015,124.599093999531,12009
12015,124.669545894994,12086
12015,127.771697264079,12119
12015,131.69440660694,12069
12015,135.201415626287,12117
12015,141.030462623143,12017
12015,158.526174885171,12127
12015,161.382823031819,12083
12015,174.624768309279,12075
12015,184.420543853195,12035
12015,189.512022387817,12107
12015,195.586373357738,12001
12015,202.353534282728,12029
12015,203.976020941664,12041
12015,211.509981039815,12109
12015,213.119298867262,12007
12015,215.511573596245,12019
12015,221.609186995863,12125
12015,228.386458118145,12067
12015,235.304305500697,12023
12015,238.134610384808,12121
12015,239.764028527189,12003
12015,240.144891981466,12123
12015,240.163484216379,12031
12015,257.65263262954,12047
12015,258.428385676915,12089
12015,264.053432761341,12079
12015,267.397607330356,12037
12015,270.054098267924,12129
12015,272.633828646086,12065
12015,285.661934618052,12073
12015,290.98418229432,12045
12015,294.007864274674,12077
12015,303.169623103072,12039
12015,313.274886389092,12013
12015,322.969735505019,12005
12015,335.342245349562,12063
12015,342.560039972591,12133
12015,362.11597175134,12059
12015,365.185992186871,12131
12015,384.957052679766,12091
12015,405.593076902634,12113
12015,416.815271089976,12033
12017,19.393612897489,12053
12017,28.683989566187,12119
12017,34.228368184066,12075
12017,37.65527007399,12101
12017,38.2468541535084,12083
12017,49.4991516221657,12069
12017,58.3740036629111,12001
12017,62.9457817215149,12041
12017,65.0514443452479,12029
12017,65.6135156361867,12057
12017,66.2807216565425,12103
12017,70.7734892921647,12107
12017,76.3000108536214,12095
12017,79.2186395229155,12007
12017,79.6419920697638,12105
12017,83.7202862618671,12127
12017,84.1855517989967,12125
12017,85.0215809820355,12117
12017,86.5206296601532,12035
12017,88.4434932640461,12067
12017,88.6109875368156,12019
12017,94.6188306786155,12081
12017,95.3716453832973,12023
12017,97.136936111459,12121
12017,99.7592533263163,12109
12017,100.112034455528,12097
12017,102.688856353351,12049
12017,103.184122980508,12003
12017,104.340753722165,12123
12017,115.05181107216,12115
12017,115.739770060642,12031
12017,116.67024100342,12047
12017,116.939567142901,12009
12017,122.334049543707,12027
12017,124.500274347402,12079
12017,126.341414195024,12055
12017,130.017957699143,12089
12017,136.606204206768,12065
12017,141.030462623143,12015
12017,141.790437349947,12093
12017,142.532546307143,12061
12017,142.86222180054,12129
12017,152.409424084328,12037
12017,153.427360891738,12073
12017,153.835696451289,12043
12017,162.184960558505,12111
12017,162.986086767275,12071
12017,171.515334135747,12077
12017,173.42628567711,12039
12017,178.015034750233,12085
12017,180.012211686543,12051
12017,180.140661367268,12045
12017,192.808034372893,12013
12017,197.924725711588,12099
12017,200.477946504744,12021
12017,209.660040618433,12063
12017,210.100634686469,12005
12017,221.974484022403,12011
12017,224.073760028379,12133
12017,238.220187447016,12087
12017,241.543573179129,12059
12017,251.480882460813,12131
12017,255.703336040797,12086
12017,274.626480073629,12091
12017,298.306317140306,12113
12017,313.584254460993,12033
12019,18.6820242659985,12007
12019,27.1293095810227,12031
12019,27.2544825904058,12107
12019,29.16663147233,12109
12019,30.7884575516972,12125
12019,35.31646691639,12003
12019,36.8464307625059,12001
12019,43.1157921734652,12089
12019,48.5040368219409,12023
12019,49.2890870521847,12035
12019,55.3181260691357,12083
12019,59.0667910486051,12041
12019,69.2530348534832,12121
12019,73.7927497584669,12075
12019,73.9486636751175,12047
12019,76.6622998395083,12127
12019,79.014876009064,12067
12019,84.9564549949998,12069
12019,84.974382320315,12029
12019,88.6109875368156,12017
12019,88.9053025045025,12119
12019,99.7194956465242,12117
12019,101.374453450413,12079
12019,104.651975776189,12053
12019,105.225820710047,12123
12019,106.738096983431,12095
12019,121.884208937963,12101
12019,125.081837243349,12065
12019,136.002574292912,12009
12019,140.117282941776,12097
12019,140.89084617601,12105
12019,146.788297316259,12057
12019,148.091953007507,12073
12019,150.880091974995,12129
12019,153.532809474372,12103
12019,169.364593334675,12039
12019,172.351618457529,12049
12019,175.838866672693,12081
12019,176.036338445604,12061
12019,176.579165210942,12037
12019,180.888125609391,12077
12019,185.386734226966,12055
12019,189.130511887093,12093
12019,193.247510185887,12027
12019,196.083389799591,12115
12019,199.450935101356,12111
12019,201.37446742272,12013
12019,203.52345237207,12045
12019,207.305630073367,12063
12019,213.39489113594,12043
12019,215.511573596245,12015
12019,219.538404110641,12085
12019,226.17169821734,12005
12019,230.910130875266,12133
12019,237.343337060308,12071
12019,242.065657762544,12051
12019,243.305485646862,12059
12019,246.261580783381,12099
12019,261.391416830278,12131
